  S/n,Bug_ID,Bug title,Bug Description,Step to reproduce,Actual Result,Expected Result,Status,Severity,Screenshots
10,BD_011,Phone Number Field Does Not Enforce Maximum Input Length,"The phone number field on the ""Create Account"" page allows users to input strings longer than required (e.g., ""12345678901234567890"") without displaying a validation error or truncating the excess input. This violates typical formatting and length standards for phone numbers and may cause issues with data storage, formatting, and backend systems expecting valid phone number lengths.","1. Navigate to the ""Create Account"" page.
2. Locate the phone number input field.
3. Enter a long numeric string like 12345678901234567890.
4. Click on the ""Continue"" button","The system accepts input of any length in the phone number field without validation or truncation.
",The field should either truncate input beyond the maximum length or Display a validation error such as “Phone number must not exceed 15 digits.”,Open,Medium,
11,BD_012,Form Navigation Fails with Intermittent Client-Side Exception Despite Valid Inputs,"When a user fills out all fields on the ""Create Account"" page with valid inputs and attempts to proceed by clicking ""Continue, it displays one of the following error messages:
- ""Application Error: a client-side exception has occurred""
- ""Cannot return null for non-nullable field Event.cinchAdditionalFee.""
""before navigating  the user to the Personal Details page.","1. Navigate to the ""Create Account"" page.
2. Fill all required fields with valid input (e.g., proper name, email, password, phone number, etc.).
3. Click the “Continue” button to submit the form.","User is sometimes shown one of the following error messages:
- ""Application Error: a client-side exception has occurred""
- ""Cannot return null for non-nullable field Event.cinchAdditionalFee.""","User should be smoothly redirected to the Personal Details page, and account creation should proceed successfully.",Open,High,
12,BD_013,"""Terms of Service"" and ""Privacy Policy"" Links  Do Not Redirect When Clicked","On the ""Create Account"" page, the ""Terms of Service"" and ""Privacy Policy"" links are either not clickable or do not redirect to the appropriate pages when clicked. These links are critical for legal compliance and user transparency. Their malfunction may prevent users from reviewing important legal information before agreeing, which can lead to trust issues or legal risks.","1. Load the ""Create Account"" page.
2. Scroll to locate the ""Terms of Service"" and ""Privacy Policy"" links.
3. Click on each link separately.
4. Observe the behavior.",Clicking the links does not redirect to any page or trigger any response.,"Each link should:
- Be clickable
- Open the appropriate policy page in the same or a new browser tab

",Open,Low,
13,BD_014,User Does Not Receive Email Notification After Successful Registration,"After completing the registration process with valid input on the ""Create Account"" page, the user does not receive any confirmation or welcome email. This issue affects user onboarding, confirmation tracking, and trust. Email notification is a critical feedback mechanism to assure users that their account was created successfully.","1. Navigate to the ""Create Account"" page.
2. Fill in all required fields with valid data.
3. Submit the registration form.
4. Check the inbox and spam/junk folders of the registered email address.","No email notification is received, even after a successful registration. The issue persists even after checking spam/junk folders.","User should receive an email (e.g., confirmation or welcome message) immediately after successful registration.",Open,Medium,
15,BD_016,User Can Access Dashboard Without Completing Onboarding Process,"After account creation, users are expected to complete an onboarding process (e.g., personal details, preferences, or verification) before gaining access to the dashboard. However, the system intermittently allows users to bypass this onboarding and land directly on the dashboard or displays the dashboard before navigating to the personal details page. This behavior breaks the intended user flow and may result in incomplete profiles or misconfigured accounts.","1. Register a new account via the ""Create Account"" page.
2. Observe the redirect after submission.
3. Repeat the registration in different sessions or devices.
4. Check if onboarding is enforced every time before dashboard access.","The user is sometimes redirected directly to the dashboard without completing the onboarding steps.
",User should be strictly required to complete the entire onboarding process before being redirected to the dashboard.,Open,Medium,
,,PERSONAL DETAILS PAGE,,,,,,,
16,BD_016,"""Personal Details"" Page Does Not Match Figma Design","The ""Personal Details"" page on the website has several inconsistencies when compared to the approved Figma design. These discrepancies affect both form layout and UI content accuracy.","1. Open the ""Personal Details"" page on the website.
2. Open the corresponding Figma design for the same page.
3. Compare all fields, buttons, and labels side by side.","1. First Name and Last Name fields are present on the website but are missing in the Figma design.
2. The ""Add Address"" button reads “+Address” on the website, while in the Figma it is labeled as “+ Another Address”.
3. The State field is a dropdown select option in the Figma, but on the website, it appears as a plain input field without selectable options.","The website should exactly match the Figma design in terms of:
- Field presence and order
- Button labels and behavior
- Input options (e.g., dropdowns)

",Open,Medium,
,BD_017,"User Cannot Navigate to ""Create Account and Home""Page from the Personal details page.","The ""Personal Details"" page lacks basic navigation options to return to the 'Create Account or Home"" Page. Neither a back button nor a clickable logo is provided or functional for navigation. This limits user control and violates common usability patterns where logos typically act as shortcuts to the home page. ","1. Load the ""Personal Details"" page.
2. Attempt to click the logo
3. Check for the presence of a “Back” button.
4. Attempt to navigate to the ""Create Account or Home"" page.","- No back/home button is present.
- The logo is not clickable and does not redirect the user to the home page.","- The logo should be clickable and redirect to the home page.
- Alternatively, a clearly labeled back/home button should allow users to navigate away from the ""Personal Details"" page.


",Open,Medium,
17,BD_018,Date of Birth Field Allows Future Dates and Underage Selections,"On the ""Personal Details"" page, the Date of Birth (DOB) field incorrectly allows users to select future dates and dates indicating an age below 18 years. This violates expected age restrictions and introduces invalid data.","1. Navigate to the ""Personal Details"" page containing the DOB field.
2. Click on the calendar icon to open the date picker.
3. Attempt to select:
    - A date in the future
    - A date indicating the user is younger than 18 years","- User can select future dates.
- User can enter DOBs that result in ages below 18, with no validation error shown.","- The calendar should prevent selection of future dates.
- The system should restrict DOB to users aged 18 and above, possibly with an error message for invalid entries.

",Open,High,
18,BD_019,Mandatory Address Fields Not Enforced — User Can Proceed with Empty Fields,"On the form page, critical address fields such as Address Line 1, City, and Zip Code are not enforced as required. Users are able to continue to the next step of the form even when these fields are left blank. This leads to incomplete user data.","1. Navigate to the form page containing address fields.
2. Leave Address Line 1, City, and Zip Code empty.
3. Click the “Continue” button.

","- No validation errors are shown.
- User is able to proceed to the next page with all address fields left empty.
- The address fields behave as optional, which is likely unintended.","- The system should display validation errors for each required field.
- User should not be allowed to proceed until all mandatory address fields are filled.",Open,Medium,
19,BD_020,ZIP Code Field Accepts Non-Numeric Values Without Validation Error,The ZIP code field on the form page does not validate the input format. Users are able to enter alphabetic characters and special symbols without receiving an error message. This behavior can result in invalid address data .,"1. Navigate to the form page.
2. In the ZIP code field, enter non-numeric values like abcd or @#%&.
3. Click the “Continue” button.
","- The system accepts non-numeric values in the ZIP code field.
- No validation error is shown, and user can proceed.","- The system should display a validation error indicating that only numeric input is allowed.
- Submission should be blocked until a valid ZIP code is entered.",Open,Medium,
20,,BANK DETAILS PAGE,,,,,Open,Low,
21,BD_021,Banking Details Page Design and Flow Do Not Match Figma; Popup Is Blank,"The Banking Details page on the website does not match the layout, flow, or structure presented in the Figma design. While the Figma shows the banking form as a direct continuation from the Personal Details page, the website implementation introduces a detour where users must click an ""Add Bank Details"" button to trigger a popup. Furthermore, the popup that appears is blank, displaying no input fields or content as expected.","1. Navigate through the form until you reach the Bank Details step.
2. Observe the flow from the Personal Details page.
3. Click on the “Add Bank Details” button.
4. Compare the behavior and layout with the Figma design.","- User is required to click an ""Add Bank Details"" button.
- This opens a popup/modal, which appears blank, lacking any fields or instructions.
- The entire flow and design deviate significantly from the Figma.","- The Bank Details form should be a direct next step after the Personal Details page, per Figma.
- Input fields should be immediately visible and match the Figma layout.
- No extra clicks or modal popups should be required unless explicitly designed.

",Open,High,
22,BD_022,"Unable to Enter Banking Details — ""Add Bank Details"" Button Opens Empty Page","When users attempt to enter their banking information by clicking the “Add Bank Details” button, they are redirected to a blank or empty page that contains no fields or forms for entering banking details. This blocks the user from completing a required step in the registration or onboarding process.","1. Navigate to the Banking Details section of the website.
2. Click the “Add Bank Details” button.
3. Attempt to fill in the following:
   - Bank Name
   - Account Holder Name
   - Routing Number
   - Account Number
   - Confirm Account Number
4. Click “Continue”.","- Clicking “Add Bank Details” redirects to an empty page or opens a blank popup.
- No input fields are displayed.","- A form should appear with all the required fields.
- User should be able to enter valid bank details and proceed to the next step.",Open,Critical,
23,,EXTRA INFO PAGE,,,,,,,
24,BD_023,"Missing Field and Incomplete Placeholder Text on ""Extra Info"" Page Compared to Figma","On the ""Extra Info"" page, two key discrepancies were found when compared to the Figma design:
1. The field “Have you held a WPRA Pro Card?” along with its select dropdown is completely missing from the website.
2. The placeholder text for the input field “What are your Consistent Catch Times?” is incomplete, displaying only part of the expected guidance. These deviations may hinder data accuracy and user experience.","1. Navigate to the Extra Info page on the website.
2. Open the corresponding Figma design for this page.
3. Compare all form elements and placeholder texts.","- The “Have you held a WPRA Pro Card?” field and dropdown are missing from the website.
- The placeholder for “Consistent Catch Times” is truncated or incomplete, not aligning with the Figma design.","- The field “Have you held a WPRA Pro Card?” with a select dropdown should be present.
- The placeholder for “What are your Consistent Catch Times?” should display the full guidance text as seen in the Figma.

",Open,Medium,
25,BD_024,Breakaway Winnings Field Rejects some Valid Decimal Numbers,"The ""Breakaway Winnings"" input field fails to accept valid decimal number entries such as ""100.50"", ""300.00"", and ""500.50"", even though these are standard currency formats. This prevents users from accurately entering their earnings and may result in incorrect or incomplete data submissions.","1. Navigate to the Extra details page containing the ""Breakaway Winnings"" input field.
2. Click into the field and type a decimal number, e.g., ""100.50"" or ""300.00"".
3. Attempt to proceed or submit the form.","- The system rejects or blocks decimal values like ""100.50"" and ""500.50"".
- Users are unable to enter some currency amounts with cents.

","- The field should accept and retain the decimal value entered.
- No validation error should occur when entering valid currency amounts.",Open,Medium,
26,BD_025,Breakaway Winnings Field Accepts Invalid Negative Values,"The ""Breakaway Winnings"" input field allows users to enter negative numbers, such as ""-200"", which is not valid for a field intended to capture earnings. This may result in inaccurate financial records and undermine data integrity.","1. Navigate to the form page containing the ""Breakaway Winnings"" field.
2. Enter a negative value, e.g., -200.
3. Attempt to proceed or submit the form.","- The field accepts negative numbers without any validation error.
- Form can be submitted with incorrect negative values.","- The system should reject negative values.
- A validation message should be shown (e.g., ""Amount cannot be negative."").",Open,Medium,
27,BD_026,Equine Events Winnings Field Does Not Accept Some Valid Currency Format,"The ""Equine Events Winnings"" input field does not accept valid currency values such as ""500.00"" or ""200.50"", which is the standard format for monetary input. This limitation can prevent users from entering accurate earnings, affecting data reliability and user experience.","1. Go to the form containing the ""Equine Events Winnings"" field.
2. Enter a value like ""500.00"" or ""250.50"".
3. Try to proceed or observe how the field handles the input.","- The input field does not accept decimal values like ""500.00"".
- User is unable to input some precise monetary data.","The field should allow and retain properly formatted currency values (e.g., 500.00).",Open,Medium,
28,BD_027,Record Time Field Accepts Invalid Format Inputs,"The ""Record Time"" input field allows users to enter invalid formats such as ""75 minutes"", which is not a standardized or acceptable time format. This could lead to inconsistent data entries and misinterpretation of performance times.","1. Navigate to the form section with the ""Record Time"" input field.
2. Enter an invalid format such as ""75 minutes"" or ""ten seconds"".
3. Attempt to proceed or observe the input behavior.

","- The field accepts values like ""75 minutes"" without validation.
- No error or warning is displayed for incorrect formats.","- The field should validate format strictly, accepting only a valid time format (e.g., mm:ss or hh:mm:ss).
- User should receive an error message for unsupported input formats.

",Open,Medium,
29,BD_028,Consistent Catch Times Field Accepts Alphabetic Characters,"The ""Consistent Catch Times"" input field accepts alphabetic entries such as ""one minute"", which are not valid time formats. This allows users to submit inconsistent or unreadable data.","1. Go to the form section with the Consistent Catch Times field.
2. Enter alphabetic text, e.g., ""one minute"" or ""sixty seconds"".
3. Observe the field’s behavior or try to submit the form.","- The system accepts alphabetic entries with no validation error.
- User can proceed with invalid input.","- The field should reject alphabetic characters.
- A validation message should prompt the user to enter a valid time format (e.g., mm:ss).",Open,Medium,
30,BD_029,Continue Button Remains Enabled and Submits Without Validating Required Fields,"When the user clicks the “Continue” button without filling in any required fields, the system does not display any validation messages, and the user may proceed or receive no feedback. This allows form submission attempts with incomplete or invalid data, which breaks the expected validation flow.","1. Navigate to the page with the Continue button.
2. Leave all required input fields blank
3. Click the “Continue” button.","- No validation messages are shown.
- User remains on the page but is not informed about which fields are required.","- The system should either disable the Continue button or show validation error messages for each required field.
- User should not proceed until required fields are completed.",Open,Medium,
31,BD_030,"Spelling and Content Discrepancies on ""Extra Info"" Page","The ""Extra Info"" page contains spelling mistakes and text inconsistencies compared to the Figma design. Specifically:
- In the “Rate your Roping Talent” section, “geld” is incorrectly used instead of “held”.
- The button label for exiting the page differs from Figma:
   - Figma uses “Done”
   - Website uses “Close”","1. Navigate to the ""Extra Info"" page on the website.
2. Compare the content with the corresponding Figma design.
3. Observe the spelling in question and the exit button label.

","-""Geld"" is displayed instead of ""held"".
- Exit button displays ""Close"" instead of ""Done"".",All text should be correctly spelled and match the Figma design exactly,Open,Low,
32,BD_031,"Missing Navigation Path from ""Extra Info"" Page to ""Bank Details"" or ""Home"" Page","The user is unable to navigate from the ""Extra Info"" page back to the ""Bank Details"" page because the Back button is not implemented. This disrupts the expected navigation flow, making it difficult for users to return and edit previously entered banking information.","1. Navigate to the ""Extra Info"" page after completing the ""Bank Details"" step.
2. Attempt to go back to the ""Bank Details"" page using the Back button.
3. Observe if the navigation works.","- No Back button is implemented.
- User is unable to return to the ""Bank Details"" page from the ""Extra Info"" page.","User should be able to navigate back to the ""Bank Details"" page via a clearly visible and functional Back button.",Open,Medium,
,,SIGNIN PAGE,,,,,,,
,BD_032,Email Field Accepts Invalid Format Without Proper Validation Message,"The email input field allows submission of email addresses in invalid formats such as ""test@com"", and the user does not receive an appropriate error message. The feedback does not have a text, which makes it unclear that the issue is with the email format.","1. Open the sign-in form or any page with the email input field.
2. Enter an invalid email format, such as ""test@com"".
3. Click “Sign In” or submit the form.",The system accepts the input  and shows an error  that has no context and without specifying that the email format is invalid.,"The system should display a clear validation error, such as:“Please enter a valid email address.”",Open,Medium,
,BD_033,GraphQL Error – “Cannot return null for non-nullable field Event.cinchAdditionalFee.” shown after sign in,"After a successful login, the user is redirected to the dashboard. However, a pop-up error appears with the message:

""Cannot return null for non-nullable field Event.cinchAdditionalFee.""","1. Open the login page.
2. Enter valid credentials.
3. Click on ""Sign In.""
4. Wait for the dashboard to load.","Dashboard loads, but a pop-up appears with the error: ""Cannot return null for non-nullable field Event.cinchAdditionalFee.""",Dashboard should load cleanly without errors or pop-ups.,Open,Medium,
,,RESET PASSWORD PAGE,,,,,,,
,BD_034,"Invalid Email Format Not Properly Validated on ""Send Reset Link"" Form","The email field on the “Forgot Password” or “Send Reset Link” form accepts invalid email formats (e.g., ""tester@com"") without displaying an appropriate validation message. Instead of notifying the user that the email format is incorrect, the system displays an error without text, which creates a poor user experience and confusion.

","1. Navigate to the “Forgot Password” or ""Send Reset Link"" page.
2. Enter an invalid email, such as ""tester@com"".
3. Click “Send Reset Link.”

","The system either silently fails or shows a generic error, failing to explain that the email format is incorrect.","The system should display a clear validation message like:
“Please enter a valid email address.”",Open,Medium,
,BD_035,,,,,,,,
,BD_036,,,,,,,,
,BD_037,,,,,,,,
,BD_038,,,,,,,,
,BD_039,,,,,,,,
,BD_040,,,,,,,,
,BD_041,,,,,,,,
,BD_042,,,,,,,,
,BD_043,,,,,,,,
,BD_044,,,,,,,,
,BD_045,,,,,,,,
,BD_046,,,,,,,,
,BD_047,,,,,,,,
,BD_048,,,,,,,,
,BD_049,,,,,,,,
,BD_050,,,,,,,,
